surface_id,model_name,model_snapshot,scenario_id,n_cells_observed,is_complete_32_cell_surface,n_unique_cell_ids,n_duplicate_cell_ids,n_missing_cell_ids,missing_cell_ids,is_constant_afc,n_positive_afc,n_negative_afc,eligibility_status
acceptable_floor_choice|claude-haiku-4-5|scenario_1,claude-haiku-4-5,claude-haiku-4-5,1,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_2,claude-haiku-4-5,claude-haiku-4-5,2,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_6,claude-haiku-4-5,claude-haiku-4-5,6,32,True,32,0,0,,True,0,32,constant_zero_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_7,claude-haiku-4-5,claude-haiku-4-5,7,32,True,32,0,0,,False,30,2,eligible_nonconstant_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_10,claude-haiku-4-5,claude-haiku-4-5,10,31,False,31,0,1,2,False,20,11,incomplete_32_cell_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_11,claude-haiku-4-5,claude-haiku-4-5,11,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_12,claude-haiku-4-5,claude-haiku-4-5,12,32,True,32,0,0,,False,15,17,eligible_nonconstant_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_14,claude-haiku-4-5,claude-haiku-4-5,14,32,True,32,0,0,,False,9,23,eligible_nonconstant_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_15,claude-haiku-4-5,claude-haiku-4-5,15,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_16,claude-haiku-4-5,claude-haiku-4-5,16,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_22,claude-haiku-4-5,claude-haiku-4-5,22,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_23,claude-haiku-4-5,claude-haiku-4-5,23,32,True,32,0,0,,False,4,28,eligible_nonconstant_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_26,claude-haiku-4-5,claude-haiku-4-5,26,32,True,32,0,0,,False,23,9,eligible_nonconstant_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_27,claude-haiku-4-5,claude-haiku-4-5,27,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-haiku-4-5|scenario_29,claude-haiku-4-5,claude-haiku-4-5,29,32,True,32,0,0,,True,32,0,constant_one_surface
acceptable_floor_choice|claude-opus-4-6|scenario_1,claude-opus-4-6,claude-opus-4-6,1,32,True,32,0,0,,False,8,24,eligible_nonconstant_surface
